FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI GoldSetMethodID Rank - All Ranks	LSI GoldSetMethodID Rank - Best Rank
 	1880	org.gjt.sp.jedit.gui.FilteredListModel.getInternal2ExternalRow(int)	5470	
 	1881	org.gjt.sp.jedit.gui.FilteredListModel.getElementAt(int)	6065	
 	1882	org.gjt.sp.jedit.gui.FilteredListModel.getSize()	50	
 	1883	org.gjt.sp.jedit.gui.FilteredListModel.contentsChanged(ListDataEvent)	25	
 	1884	org.gjt.sp.jedit.gui.FilteredListModel.intervalAdded(ListDataEvent)	26	
 	1885	org.gjt.sp.jedit.gui.FilteredListModel.intervalRemoved(ListDataEvent)	29	
 	3255	org.gjt.sp.jedit.gui.LogViewer.LogViewer()	38	
 	3261	org.gjt.sp.jedit.gui.LogViewer.setFilter()	16	
1593389	5779	org.gjt.sp.jedit.browser.VFSBrowser.delete(VFSFile[])	19	3
 	1847	org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)	3	
 	1861	org.gjt.sp.jedit.io.FileVFS._delete(Object,String,Component)	21	
1593464	1803	org.gjt.sp.jedit.browser.FileCellRenderer.getIconForFile(VFSFile,boolean,boolean)	16	6
 	1804	org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()	32	
 	1841	org.gjt.sp.jedit.io.FileVFS.getParentOfPath(String)	1295	
 	1852	org.gjt.sp.jedit.io.FileVFS.LocalFile.getIcon(boolean,boolean)	6	
 	5882	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean)	19	
 	5883	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean,boolean)	22	
 	5884	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean,boolean)	28	
 	5885	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean)	8	
 	319	org.gjt.sp.jedit.options.BrowserOptionPane._init()	99	
 	320	org.gjt.sp.jedit.options.BrowserOptionPane._save()	234	
1593523	2314	org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)	34	34
1593526	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	161	161
1593543	642	org.gjt.sp.jedit.Buffer.setMode()	2396	446
 	728	org.gjt.sp.jedit.BufferHistory.setEntry(String,int,Selection[],String,String)	2441	
 	732	org.gjt.sp.jedit.BufferHistory.save()	534	
 	725	org.gjt.sp.jedit.BufferHistory.Entry.Entry(String,int,String,String,String)	5072	
 	740	org.gjt.sp.jedit.BufferHistory.RecentHandler.endElement(String,String,String)	5135	
 	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	1249	
 	2743	org.gjt.sp.jedit.jEdit._closeBuffer(View,Buffer)	472	
 	2745	org.gjt.sp.jedit.jEdit.closeAllBuffers(View,boolean)	446	
 	-1	org.gjt.sp.jedit.jEdit.composeBufferPropsFromHistory(Hashtable,String)		
1593576	2903	org.gjt.sp.jedit.buffer.JEditBuffer.indentLine(int,boolean)	2	2
 	2906	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int,int,int)	15	
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	17	
 	4997	org.gjt.sp.util.StandardUtilities.truncateWhiteSpace(int,int,String)	12	
1593735	3709	org.gjt.sp.jedit.gui.OptionsDialog.valueChanged(TreeSelectionEvent)	64	29
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	29	
 	-1	org.gjt.sp.jedit.gui.OptionsDialog.selectPane(OptionGroup,String,List)		
 	3716	org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	311	
1594234	3699	org.gjt.sp.jedit.OptionGroup.insertionSort(String,Object)	1489	10
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	21	
 	4757	org.gjt.sp.jedit.search.SearchBar.incrementalSearch(int,boolean)	10	
 	4758	org.gjt.sp.jedit.search.SearchBar.timerIncrementalSearch(int,boolean)	53	
1594910	637	org.gjt.sp.jedit.Buffer.propertiesChanged()	705	23
 	3527	org.gjt.sp.jedit.Mode.getIndentRules()	23	
 	3528	org.gjt.sp.jedit.Mode.isElectricKey(char)	198	
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	93	
 	3530	org.gjt.sp.jedit.Mode.createRegexpIndentRule(String)	62	
 	3531	org.gjt.sp.jedit.Mode.createBracketIndentRules(String,List<IndentRule>)	83	
 	2866	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer(Map)	2586	
 	2867	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer()	3430	
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	55	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)	122	
 	2912	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char,int)	44	
 	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	25	
 	3020	org.gjt.sp.jedit.textarea.JEditTextArea.userInput(char)	2740	
1599024	4639	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.updateEveryTime()	4776	1
 	4640	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.update(JMenu)	8	
 	4641	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.actionPerformed(ActionEvent)	1	
1599709	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	1353	1353
1600401	5548	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean)	2295	2295
1601718	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	74	40
 	4729	org.gjt.sp.jedit.search.SearchAndReplace.hyperSearch(View,boolean)	105	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	139	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	61	
 	4735	org.gjt.sp.jedit.search.SearchAndReplace.replaceAll(View)	40	
 	4742	org.gjt.sp.jedit.search.SearchAndReplace.record(View,String,boolean,boolean)	58	
1608486	1576	org.gjt.sp.jedit.EditPane.initPainter(TextAreaPainter)	794	1
 	5418	org.gjt.sp.jedit.options.TextAreaOptionPane._init()	133	
 	5419	org.gjt.sp.jedit.options.TextAreaOptionPane._save()	489	
 	5440	org.gjt.sp.jedit.textarea.TextAreaPainter.isThickCaretEnabled()	8	
 	5441	org.gjt.sp.jedit.textarea.TextAreaPainter.setThickCaretEnabled(boolean)	1	
 	5481	org.gjt.sp.jedit.textarea.TextAreaPainter.PaintCaret.paintValidLine(Graphics2D,int,int,int,int,int)	48	
1608948	5825	org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor.processFocusEvent(FocusEvent)	1	1
1611766	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	1	1
1617509	1975	org.gjt.sp.jedit.io.GlobVFSFileFilter.accept(VFSFile)	101	101
 	1979	org.gjt.sp.jedit.io.GlobVFSFileFilter.setGlob(String)	2296	
1620694	722	org.gjt.sp.jedit.textarea.BufferHandler.delayUpdate(int,int)	4066	46
 	5109	org.gjt.sp.jedit.textarea.TextArea.TextArea(IPropertyManager,InputHandlerProvider)	46	
 	5128	org.gjt.sp.jedit.textarea.TextArea.setBuffer(JEditBuffer)	439	
 	5317	org.gjt.sp.jedit.textarea.TextArea.propertiesChanged()	4753	
 	5325	org.gjt.sp.jedit.textarea.TextArea.foldStructureChanged()	1449	
 	5333	org.gjt.sp.jedit.textarea.TextArea.finishCaretUpdate(int,int,boolean)	98	
 	5420	org.gjt.sp.jedit.textarea.TextAreaPainter.setBounds(int,int,int,int)	220	
 	5468	org.gjt.sp.jedit.textarea.TextAreaPainter.paint(Graphics)	917	
1628053	1547	org.gjt.sp.jedit.EditPane.setBuffer(Buffer,boolean)	90	90
 	853	org.gjt.sp.jedit.gui.BufferSwitcher.updateBufferList()	98	
1630805	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)	6385	153
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)	2574	
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)	1020	
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)	153	
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()	2318	
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	1153	
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	5874	
1638642	2068	org.gjt.sp.jedit.GUIUtilities.initContinuousLayout(JSplitPane)	1	1
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Frame,String)		
 	5995	org.gjt.sp.jedit.View.split(int)	5	
 	6037	org.gjt.sp.jedit.View.restoreSplitConfig(Buffer,String)	38	
 	6038	org.gjt.sp.jedit.View.propertiesChanged()	48	
 	321	org.gjt.sp.jedit.browser.BrowserView.BrowserView(VFSBrowser)	41	
 	332	org.gjt.sp.jedit.browser.BrowserView.propertiesChanged()	6	
 	341	org.gjt.sp.jedit.browser.BrowserView.TableMouseHandler.mouseClicked(MouseEvent)	2326	
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	35	
 	4620	org.gjt.sp.jedit.gui.RegisterViewer.RegisterViewer(View,String)	136	
 	4622	org.gjt.sp.jedit.gui.RegisterViewer.handleMessage(EBMessage)	92	
 	4627	org.gjt.sp.jedit.gui.RegisterViewer.refreshList()	2336	
 	2212	org.gjt.sp.jedit.help.HelpViewer.HelpViewer(String)	75	
 	2217	org.gjt.sp.jedit.help.HelpViewer.handleMessage(EBMessage)	468	
 	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	159	
 	190	org.gjt.sp.jedit.options.AppearanceOptionPane._save()	265	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	141	
 	2460	org.gjt.sp.jedit.pluginmgr.InstallPanel.formatSize(int)	5013	
1641997	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	47	47
1642574	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	643	52
 	6065	org.gjt.sp.jedit.options.ViewOptionPane._init()	52	
 	6066	org.gjt.sp.jedit.options.ViewOptionPane._save()	157	
1645528	4261	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.skipRemote(String)	245	245
