FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
 	5511	org.gjt.sp.jedit.TextUtilities.tabsToSpaces(String,int)		
 	5512	org.gjt.sp.jedit.TextUtilities.format(String,int,int)	188	
 	5517	org.gjt.sp.jedit.TextUtilities.formatParagraph(String,int,int,StringBuilder)	532	
 	3022	org.gjt.sp.jedit.textarea.JEditTextArea.formatParagraph()	138	
1549282	605	org.gjt.sp.jedit.Buffer.insertFile(View,String)		79
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)	79	
 	638	org.gjt.sp.jedit.Buffer.getDefaultProperty(String)	1200	
 	681	org.gjt.sp.jedit.Buffer.finishSaving(View,String,String,String,boolean,boolean)		
1560006	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	1	1
1560584	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	101	101
1565447	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	749	5
 	2305	org.gjt.sp.jedit.search.HyperSearchFileNode.getCount()	34	
 	2306	org.gjt.sp.jedit.search.HyperSearchFileNode.setCount(int)	33	
 	2320	org.gjt.sp.jedit.search.HyperSearchRequest.HyperSearchRequest(View,SearchMatcher,HyperSearchResults,Selection[])	5	
 	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	12	
 	2323	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int)	8	
 	2388	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	22	
 	2389	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes.processNode(DefaultMutableTreeNode)	21	
1569735	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	38	38
1570554	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	39	39
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)		
 	5919	org.gjt.sp.jedit.browser.VFSFileChooserDialog.ok()	52	
1571629	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	4	3
 	5802	org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()	3	
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)	7	
1571752	5260	org.gjt.sp.jedit.textarea.TextArea.userInput(char)		12
 	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	12	
1574587	-1	org.gjt.sp.jedit.buffer.JEditBuffer.getUndoManager()		3
 	2876	org.gjt.sp.jedit.buffer.JEditBuffer.setDirty(boolean)	5	
 	792	org.gjt.sp.jedit.bufferio.BufferSaveRequest.run()	31	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	44	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	3	
