FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	58	
2069249	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)		3
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	3	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	7	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	78	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	48	
2077326	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	2	2
 	678	org.gjt.sp.jedit.Buffer.calculateHash()	62	
 	680	org.gjt.sp.jedit.Buffer.finishLoading()	298	
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	34	
 	4689	org.gjt.sp.jedit.options.SaveBackupOptionPane._save()	44	
2089713	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	4	4
2091052	831	org.gjt.sp.jedit.bufferset.BufferSetManager.handleMessage(EBMessage)	22	1
 	844	org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed.BufferSetClosed(BufferSet)	59	
 	-1	org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed.BufferSetClosed(View,BufferSet)		
 	-1	org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed.BufferSetClosed(EditPane,BufferSet)		
 	-1	org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed.init()		
 	845	org.gjt.sp.jedit.bufferset.BufferSetManager.BufferSetClosed.bufferAdded(Buffer,int)		
 	6030	org.gjt.sp.jedit.View.confirmToCloseDirty()	1	
 	6048	org.gjt.sp.jedit.View.getOpenBuffers()	45	
 	1050	org.gjt.sp.jedit.gui.CloseDialog.CloseDialog(View)		
 	1051	org.gjt.sp.jedit.gui.CloseDialog.CloseDialog(View,Collection<Buffer>)		
 	2820	org.gjt.sp.jedit.jEdit.closeView(View,boolean)	35	
2122926	1700	org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.ErrorHighlight(View)		1
 	1706	org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter.MyMouseAdapter(View)		
 	1707	org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter.mouseClicked(MouseEvent)	1	
2129419	1057	org.gjt.sp.jedit.gui.CloseDialog.ListHandler.valueChanged(ListSelectionEvent)	68	68
2169354	4748	org.gjt.sp.jedit.search.SearchAndReplace.regexpReplace(SearchMatcher.Match,String)	63	63
2173091	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	8	5
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	5	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	135	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	212	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	104	
2173112	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	27	27
2183929	1568	org.gjt.sp.jedit.EditPane.bufferAdded(Buffer,int)	6	2
 	1571	org.gjt.sp.jedit.EditPane.bufferSetSorted()	2	
 	-1	org.gjt.sp.jedit.bufferset.BufferSet.BufferSet(Scope)		
 	-1	org.gjt.sp.jedit.bufferset.BufferSet.finalize()		
 	-1	org.gjt.sp.jedit.bufferset.BufferSet.handleMessage(PropertiesChanged)		
 	-1	org.gjt.sp.jedit.bufferset.BufferSet.handleMessage(EBMessage)		
 	805	org.gjt.sp.jedit.bufferset.BufferSet.addBufferAt(Buffer,int)	81	
 	826	org.gjt.sp.jedit.bufferset.BufferSetAdapter.bufferSetSorted()		
 	831	org.gjt.sp.jedit.bufferset.BufferSetManager.handleMessage(EBMessage)	42	
2199003	1322	org.gjt.sp.jedit.gui.DockableWindowFactory.getDockableWindowPluginClass(String)	10	1
 	1366	org.gjt.sp.jedit.gui.DockableWindowManager.getDockableWindowPluginName(String)	2	
 	1455	org.gjt.sp.jedit.options.DockingOptionPane._init()	17	
 	1457	org.gjt.sp.jedit.options.DockingOptionPane.createDockingOptionsPanel()	56	
 	1462	org.gjt.sp.jedit.options.WindowTableModel.WindowTableModel()	1	
 	1463	org.gjt.sp.jedit.options.WindowTableModel.getDockableSets()	4	
 	1464	org.gjt.sp.jedit.options.WindowTableModel.showSet(String)	39	
2218621	3436	org.gjt.sp.jedit.MiscUtilities.canonPath(String)	14	14
 	3440	org.gjt.sp.jedit.MiscUtilities.isAbsolutePath(String)	27	
2220025	5012	org.gjt.sp.jedit.gui.StatusBar.propertiesChanged()	113	75
 	5020	org.gjt.sp.jedit.gui.StatusBar.updateCaretStatus()	77	
 	5027	org.gjt.sp.jedit.options.StatusBarOptionPane._init()	75	
 	5028	org.gjt.sp.jedit.options.StatusBarOptionPane._save()	118	
2220033	5011	org.gjt.sp.jedit.gui.StatusBar.StatusBar(View)		62
 	5020	org.gjt.sp.jedit.gui.StatusBar.updateCaretStatus()	62	
 	5025	org.gjt.sp.jedit.gui.StatusBar.MouseHandler.mouseClicked(MouseEvent)		
 	5027	org.gjt.sp.jedit.options.StatusBarOptionPane._init()	79	
 	5028	org.gjt.sp.jedit.options.StatusBarOptionPane._save()	80	
2446121	2338	org.gjt.sp.jedit.search.HyperSearchResults.HyperSearchResults(View)	69	50
 	2340	org.gjt.sp.jedit.search.HyperSearchResults.addNotify()	103	
 	2352	org.gjt.sp.jedit.search.HyperSearchResults.updateHighlightStatus()	75	
 	2359	org.gjt.sp.jedit.search.HyperSearchResults.ActionHandler.actionPerformed(ActionEvent)		
 	2360	org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree.HighlightingTree(DefaultTreeModel)	87	
 	2361	org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)	50	
 	-1	org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree.appendString2html(StringBuffer,String)		
2555956	55	org.gjt.sp.jedit.gui.AboutDialog.AboutPanel.AboutPanel()	7	7
2569381	1129	org.gjt.sp.jedit.gui.CompleteWord.getVisibleBuffers()	36	14
 	1130	org.gjt.sp.jedit.gui.CompleteWord.getCompletions(Buffer,String,int)	14	
 	5418	org.gjt.sp.jedit.options.TextAreaOptionPane._init()	61	
 	5419	org.gjt.sp.jedit.options.TextAreaOptionPane._save()	384	
2596087	5154	org.gjt.sp.jedit.textarea.TextArea.scrollTo(int,int,boolean)	30	30
 	5324	org.gjt.sp.jedit.textarea.TextArea.recalculateVisibleLines()	34	
2646484	3014	org.gjt.sp.jedit.textarea.JEditTextArea.smartEnd(boolean)	22	1
 	5246	org.gjt.sp.jedit.textarea.TextArea.home(boolean)	71	
 	5247	org.gjt.sp.jedit.textarea.TextArea.end(boolean)	1	
 	5249	org.gjt.sp.jedit.textarea.TextArea.smartEnd(boolean)		
 	5252	org.gjt.sp.jedit.textarea.TextArea.goToEndOfCode(boolean)		
2668434	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)		9
 	6028	org.gjt.sp.jedit.View.updateFullScreenProps()	71	
 	6029	org.gjt.sp.jedit.View.toggleFullScreen()	9	
 	6038	org.gjt.sp.jedit.View.propertiesChanged()	47	
 	6065	org.gjt.sp.jedit.options.ViewOptionPane._init()	60	
 	6066	org.gjt.sp.jedit.options.ViewOptionPane._save()	79	
2688862	2319	org.gjt.sp.jedit.search.HyperSearchOperationNode.getSearchString()	8	6
 	2318	org.gjt.sp.jedit.search.HyperSearchOperationNode.getSearchMatcher()	22	
 	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	16	
 	2382	org.gjt.sp.jedit.search.HyperSearchResults.RedoSearchAction.actionPerformed(ActionEvent)	6	
2696564	1573	org.gjt.sp.jedit.EditPane.EditPane(View,Buffer,BufferSet.Scope)		3
 	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	3	
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	8	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	6	
 	2139	org.gjt.sp.jedit.options.GutterOptionPane.isGutterEnabled()	9	
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)		
 	2091	org.gjt.sp.jedit.textarea.Gutter.setBorder(Border)	95	
 	2098	org.gjt.sp.jedit.textarea.Gutter.setFont(Font)	138	
 	2099	org.gjt.sp.jedit.textarea.Gutter.setGutterEnabled(boolean)	38	
 	2110	org.gjt.sp.jedit.textarea.Gutter.getPreferredSize()	32	
 	2125	org.gjt.sp.jedit.textarea.Gutter.setSelectionPopupHandler(GutterPopupHandler)		
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	289	
 	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	53	
 	2131	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseDragged(MouseEvent)	189	
 	2132	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.getFoldEndOffset(int)	497	
 	2133	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseReleased(MouseEvent)	332	
2744708	611	org.gjt.sp.jedit.Buffer.checkFileStatus(View)	14	5
 	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	5	
2759434	4990	org.gjt.sp.util.StandardUtilities.getIndentString(String)	128	128
2762745	3359	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.saveState(String,List<Entry>)	112	112
 	2589	org.gjt.sp.util.IOUtilities.closeQuietly(OutputStream)	593	
 	2591	org.gjt.sp.util.IOUtilities.closeQuietly(Writer)	1394	
 	2592	org.gjt.sp.util.IOUtilities.closeQuietly(Closeable)	1392	
2777073	1573	org.gjt.sp.jedit.EditPane.EditPane(View,Buffer,BufferSet.Scope)		57
 	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	66	
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	57	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	103	
 	2141	org.gjt.sp.jedit.options.GutterOptionPane.isSelectionAreaEnabled()	647	
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)		
 	2091	org.gjt.sp.jedit.textarea.Gutter.setBorder(Border)	114	
 	-1	org.gjt.sp.jedit.textarea.Gutter.setSelectonAreaEnabled(boolean)		
 	-1	org.gjt.sp.jedit.textarea.Gutter.getLineCount()		
 	2097	org.gjt.sp.jedit.textarea.Gutter.dispose()		
 	2098	org.gjt.sp.jedit.textarea.Gutter.setFont(Font)	110	
 	5116	org.gjt.sp.jedit.textarea.TextArea.dispose()		
2781716	2361	org.gjt.sp.jedit.search.HyperSearchResults.HighlightingTree.convertValueToText(Object,boolean,boolean,boolean,int,boolean)	137	137
2814857	5308	org.gjt.sp.jedit.textarea.TextArea.removeNotify()	4	4
2823909	6028	org.gjt.sp.jedit.View.updateFullScreenProps()	6	6
2824045	6029	org.gjt.sp.jedit.View.toggleFullScreen()	11	11
2842444	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	2	1
 	2338	org.gjt.sp.jedit.search.HyperSearchResults.HyperSearchResults(View)		
 	2347	org.gjt.sp.jedit.search.HyperSearchResults.searchStarted()	1	
 	2350	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode,DefaultMutableTreeNode)		
 	2359	org.gjt.sp.jedit.search.HyperSearchResults.ActionHandler.actionPerformed(ActionEvent)	19	
2844750	2446	org.gjt.sp.jedit.textarea.InputMethodSupport.paintValidLine(Graphics2D,int,int,int,int,int)	127	33
 	2448	org.gjt.sp.jedit.textarea.InputMethodSupport.getLocationOffset(int,int)		
 	5475	org.gjt.sp.jedit.textarea.TextAreaPainter.PaintLineBackground.paintValidLine(Graphics2D,int,int,int,int,int)	69	
 	5480	org.gjt.sp.jedit.textarea.TextAreaPainter.PaintText.paintValidLine(Graphics2D,int,int,int,int,int)	33	
2846169	1930	org.gjt.sp.jedit.buffer.FoldHandler.getPrecedingFoldLevels(JEditBuffer,int,Segment,int)	18	14
 	2418	org.gjt.sp.jedit.buffer.IndentFoldHandler.getLeadingWhitespaceWidth(Segment,int)		
 	2419	org.gjt.sp.jedit.buffer.IndentFoldHandler.getFoldLevel(JEditBuffer,int,Segment)		
 	2420	org.gjt.sp.jedit.buffer.IndentFoldHandler.getPrecedingFoldLevels(JEditBuffer,int,Segment,int)		
 	2943	org.gjt.sp.jedit.buffer.JEditBuffer.getFoldLevel(int)	14	
2882702	2058	org.gjt.sp.jedit.GUIUtilities.getScreenBounds()	81	79
 	2060	org.gjt.sp.jedit.GUIUtilities.showPopupMenu(JPopupMenu,Component,int,int,boolean)	79	
 	6059	org.gjt.sp.jedit.View.isInsideScreen(View,Rectangle)		
2887515	52	org.gjt.sp.jedit.gui.AboutDialog.AboutDialog(View)	3	3
 	56	org.gjt.sp.jedit.gui.AboutDialog.AboutPanel.handleKeyEvent(KeyEvent)	4	
 	57	org.gjt.sp.jedit.gui.AboutDialog.AboutPanel.drain()	12	
2887516	2338	org.gjt.sp.jedit.search.HyperSearchResults.HyperSearchResults(View)	33	1
 	2367	org.gjt.sp.jedit.search.HyperSearchResults.MouseHandler.showPopupMenu(MouseEvent)	8	
 	2376	org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction.CopyToClipboardAction()	1	
 	2377	org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction.actionPerformed(ActionEvent)	23	
 	2378	org.gjt.sp.jedit.search.HyperSearchResults.ToStringNodes.processNode(DefaultMutableTreeNode)	7	
 	2390	org.gjt.sp.jedit.search.HyperSearchResults.ResultTreeTransferHandler.exportToClipboard(JComponent,Clipboard,int)		
2896464	2338	org.gjt.sp.jedit.search.HyperSearchResults.HyperSearchResults(View)	22	1
 	2367	org.gjt.sp.jedit.search.HyperSearchResults.MouseHandler.showPopupMenu(MouseEvent)	21	
 	2376	org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction.CopyToClipboardAction()	1	
 	2377	org.gjt.sp.jedit.search.HyperSearchResults.CopyToClipboardAction.actionPerformed(ActionEvent)	51	
 	2378	org.gjt.sp.jedit.search.HyperSearchResults.ToStringNodes.processNode(DefaultMutableTreeNode)	10	
 	2390	org.gjt.sp.jedit.search.HyperSearchResults.ResultTreeTransferHandler.exportToClipboard(JComponent,Clipboard,int)	40	
2911122	2606	org.gjt.sp.jedit.JARClassLoader.getResource(String)	8	8
