FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM+Dyn GoldSetMethodID Rank - All Ranks	VSM+Dyn GoldSetMethodID Rank - Best Rank
 	1804	org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()	10	
 	1841	org.gjt.sp.jedit.io.FileVFS.getParentOfPath(String)	248	
 	1852	org.gjt.sp.jedit.io.FileVFS.LocalFile.getIcon(boolean,boolean)	3	
 	5882	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean)	4	
 	5883	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean,boolean)	6	
 	5884	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean,boolean)	7	
 	5885	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean)	2	
 	319	org.gjt.sp.jedit.options.BrowserOptionPane._init()	17	
 	320	org.gjt.sp.jedit.options.BrowserOptionPane._save()	35	
1593523	2314	org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)	21	21
1593526	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	44	44
1593543	642	org.gjt.sp.jedit.Buffer.setMode()	426	107
 	728	org.gjt.sp.jedit.BufferHistory.setEntry(String,int,Selection[],String,String)	717	
 	732	org.gjt.sp.jedit.BufferHistory.save()	118	
 	725	org.gjt.sp.jedit.BufferHistory.Entry.Entry(String,int,String,String,String)	1034	
 	740	org.gjt.sp.jedit.BufferHistory.RecentHandler.endElement(String,String,String)		
 	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	402	
 	2743	org.gjt.sp.jedit.jEdit._closeBuffer(View,Buffer)	137	
 	2745	org.gjt.sp.jedit.jEdit.closeAllBuffers(View,boolean)	107	
 	-1	org.gjt.sp.jedit.jEdit.composeBufferPropsFromHistory(Hashtable,String)		
1593576	2903	org.gjt.sp.jedit.buffer.JEditBuffer.indentLine(int,boolean)	1	1
 	2906	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int,int,int)	6	
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	11	
 	4997	org.gjt.sp.util.StandardUtilities.truncateWhiteSpace(int,int,String)	10	
1593735	3709	org.gjt.sp.jedit.gui.OptionsDialog.valueChanged(TreeSelectionEvent)	17	3
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	3	
 	-1	org.gjt.sp.jedit.gui.OptionsDialog.selectPane(OptionGroup,String,List)		
 	3716	org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	32	
1594234	3699	org.gjt.sp.jedit.OptionGroup.insertionSort(String,Object)		2
